TimeWindow, Flight, RiskCategory, O57, O58, O59, O60, O61, O62, O63, O64
240, Flight1, SELECTEE, 4.053281697775562E-10, 0.5416814027030303, 0.4583185967068247, 6.580879597736802E-11, 2.0065839098149798E-11, 6.169459362583929E-11, 1.967275651075524E-11, 2.006492795614033E-11
240, Flight1, UNKNOWN, 0.9999999999998016, 6.84300197969741E-13, 6.843028393134806E-13, 3.736910837297688E-13, 1.908335730978942E-13, 3.73690230828216E-13, 1.9083337669259103E-13, 1.9082687419695075E-13
240, Flight1, LOWRISK1, 0.999999999994869, 1.791806881967873E-12, 1.7916551411853026E-12, 1.1030261248273115E-12, 6.105194350190317E-13, 1.1030277562602355E-12, 6.105196887420622E-13, 6.105006037014224E-13
240, Flight1, LOWRISK2, 0.9999999999796291, 5.310507479841143E-12, 5.310046607858894E-12, 3.325159782453455E-12, 1.863365046963028E-12, 3.325176169657108E-12, 1.8633698332445636E-12, 1.8633063917635316E-12
240, Flight1, LOWRISK3, 0.9999999999645903, 8.786854099420797E-12, 8.786086729976393E-12, 5.516758041385781E-12, 3.097695867588472E-12, 5.516809711681783E-12, 3.097711832603171E-12, 3.097598069080226E-12
240, Flight1, LOWRISK4, 0.99999999995707, 1.0525499430010658E-11, 1.0524579283203773E-11, 6.61268781348513E-12, 3.714892255065546E-12, 6.6127817406129284E-12, 3.71492168737084E-12, 3.7147749836288375E-12
240, Flight2, SELECTEE, 0.25000000058447386, 0.46761819627499235, 0.28238180309208916, 1.7223028918547254E-11, 5.496820923728557E-12, 1.7221763966193746E-11, 5.496686005475197E-12, 5.496464475750079E-12
240, Flight2, UNKNOWN, 0.9999999999998934, 6.677081693389486E-13, 6.677419845656116E-13, 3.58659158033553E-13, 1.813047751092679E-13, 3.5865811236026224E-13, 1.813045970211096E-13, 1.8129835739739021E-13
240, Flight2, LOWRISK1, 0.9999999999958676, 1.5622563736069147E-12, 1.5621214884153835E-12, 9.571435531772812E-13, 5.279652785319993E-13, 9.571447524362624E-13, 5.279654642345508E-13, 5.279488894263616E-13
240, Flight2, LOWRISK2, 0.9999999999903008, 2.8450783931166304E-12, 2.844834859986942E-12, 1.7696034060664014E-12, 9.868189693052135E-13, 1.7696082434450557E-12, 9.868201666931927E-13, 9.867881510848127E-13
240, Flight2, LOWRISK3, 0.9999999999645911, 8.786723506972465E-12, 8.785955904828416E-12, 5.516688892597906E-12, 3.0976691733355216E-12, 5.5167508158614346E-12, 3.097688418714328E-12, 3.0975714094313474E-12
240, Flight2, LOWRISK4, 0.9999999999771237, 5.889538058698353E-12, 5.88902433353368E-12, 3.690281356319603E-12, 2.0690395365651445E-12, 3.690309744223612E-12, 2.06904816924486E-12, 2.0689743071634656E-12
