RiskCategory, TimeWindow, Flight, attOnBody_coverage, attOnBody_payoff, attOnBody_utility, attInCarryOn_coverage, attInCarryOn_payoff, attInCarryOn_utility
SELECTEE, 240, Flight1, 0.5833333345319349, 12499.999964041952, 4631.249986677543, 0.7500000022449608, 7499.999932651177, 2778.749975047261
SELECTEE, 240, Flight2, 0.37500000024024566, 12499.999995195089, 4631.2499982197805, 0.7500000009281268, 4999.999981437464, 1852.4999931225805
SELECTEE, 240, Flight3, 0.7916666670592475, 12499.999976445151, 4631.249991272928, 0.8430443361229355, 9417.33983262387, 3489.1244079871435
SELECTEE, 240, Flight4, 0.8214285717192985, 12499.999979649105, 4631.249992459993, 0.9100027266850026, 6299.809132049819, 2334.079283424458
SELECTEE, 240, Flight5, 0.7916666669346806, 12499.999983919166, 4631.249994042051, 0.8532218458309031, 8806.689250145813, 3262.878367179024
SELECTEE, 240, Flight6, 0.6875000005210645, 12499.99997915742, 4631.249992277823, 0.750000001026604, 9999.99995893584, 3704.9999847857284
SELECTEE, 240, Flight7, 0.5833333339551162, 12499.999981346513, 4631.249993088883, 0.7500000013322892, 7499.999960031325, 2778.749985191606
SELECTEE, 240, Flight8, 0.8611111114432917, 12499.99997010375, 4631.24998892344, 0.9201499458428042, 7186.504874147623, 2662.600055871694
SELECTEE, 240, Flight9, 0.7500000004302182, 12499.99997848909, 4631.249992030208, 0.750000001966437, 12499.99990167815, 4631.249963571754
SELECTEE, 240, Flight10, 0.6875000005210645, 12499.99997915742, 4631.249992277823, 0.750000001026604, 9999.99995893584, 3704.9999847857284
SELECTEE, 240, Flight11, 0.2500000018525623, 7499.999981474377, 2778.7499931362568, 0.7500000006231841, 2499.9999937681596, 926.2499976911031
SELECTEE, 240, Flight12, 0.6875000005210645, 12499.99997915742, 4631.249992277823, 0.750000001026604, 9999.99995893584, 3704.9999847857284
SELECTEE, 240, Flight13, 0.5833333339551162, 12499.999981346513, 4631.249993088883, 0.7500000013322892, 7499.999960031325, 2778.749985191606
SELECTEE, 240, Flight14, 0.7500000003501291, 12499.999982493542, 4631.249993513858, 0.7500000015783184, 12499.999921084082, 4631.249970761653
SELECTEE, 240, Flight15, 0.8214285717990427, 12499.99997406701, 4631.249990391827, 0.8898298436516814, 7711.910944382303, 2857.263004893643
SELECTEE, 240, Flight16, 0.8214285717192985, 12499.999979649105, 4631.249992459993, 0.9100027266850026, 6299.809132049819, 2334.079283424458
SELECTEE, 240, Flight17, 0.5833333341466438, 12499.999975600686, 4631.249990960054, 0.7500000016384293, 7499.999950847122, 2778.749981788859
SELECTEE, 240, Flight18, 0.8214285717702369, 12499.99997608342, 4631.249991138907, 0.894780928468166, 7365.335007228377, 2728.8566201781136
SELECTEE, 240, Flight19, 0.8611111114939234, 12499.999965546895, 4631.2499872351245, 0.9120548440172949, 7915.064038443462, 2932.5312262433026
SELECTEE, 240, Flight20, 0.791666667161544, 12499.99997030736, 4631.249988998878, 0.8398721814463601, 9607.669113218393, 3559.6414064474147
SELECTEE, 240, Flight21, 0.5833333337099929, 12499.999988700214, 4631.249995813429, 0.7500000009356321, 7499.999971931036, 2778.7499896004488
SELECTEE, 240, Flight22, 0.750000000325019, 12499.999983749049, 4631.249993979022, 0.7500000014566176, 12499.99992716912, 4631.249973016159
SELECTEE, 240, Flight23, 0.37500000024024566, 12499.999995195089, 4631.2499982197805, 0.7500000009281268, 4999.999981437464, 1852.4999931225805
SELECTEE, 240, Flight24, 0.8611111115697558, 12499.999958721975, 4631.249984706492, 0.9064964612947277, 8415.318483474506, 3117.8754981273046
SELECTEE, 240, Flight25, 0.3750000001975178, 12499.999996049644, 4631.249998536393, 0.7500000008631525, 4999.999982736949, 1852.4999936040397
SELECTEE, 240, Flight26, 0.7916666669789536, 12499.999981262783, 4631.249993057861, 0.8478454710163151, 9129.271739021093, 3382.3951793073147
SELECTEE, 240, Flight27, 0.7916666669346806, 12499.999983919166, 4631.249994042051, 0.8532218458309031, 8806.689250145813, 3262.878367179024
SELECTEE, 240, Flight28, 0.8611111119442328, 12499.999925019045, 4631.249972219556, 0.8994737116226051, 9047.365953965536, 3352.049085944231
SELECTEE, 240, Flight29, 0.3750000001975178, 12499.999996049644, 4631.249998536393, 0.7500000008631525, 4999.999982736949, 1852.4999936040397
SELECTEE, 240, Flight30, 0.5833333345319349, 12499.999964041952, 4631.249986677543, 0.7500000022449608, 7499.999932651177, 2778.749975047261
SELECTEE, 240, Flight31, 0.5833333336692775, 12499.999989921675, 4631.24999626598, 0.7500000008692126, 7499.999973923622, 2778.749990338702
SELECTEE, 240, Flight32, 0.8611111114512041, 12499.999969391629, 4631.249988659599, 0.9184363758358343, 7340.726174774916, 2719.7390477541067
SELECTEE, 240, Flight33, 0.3750000027816469, 12499.999944367062, 4631.249979387996, 0.750000004113859, 4999.999917722819, 1852.4999695163044
SELECTEE, 240, Flight34, 0.843750000818887, 12499.999934489044, 4631.24997572819, 0.8888191186448908, 8894.470508408735, 3295.401323365436
SELECTEE, 240, Flight35, 0.750000000325019, 12499.999983749049, 4631.249993979022, 0.7500000014566176, 12499.99992716912, 4631.249973016159
SELECTEE, 240, Flight36, 0.7916666669789536, 12499.999981262783, 4631.249993057861, 0.8478454710163151, 9129.271739021093, 3382.3951793073147
SELECTEE, 240, Flight37, 0.875000000353312, 12499.999964668796, 4631.249986909789, 0.9156632079286385, 8433.679207136147, 3124.6781462439426
SELECTEE, 240, Flight38, 0.3750000001644703, 12499.999996710594, 4631.249998781275, 0.7500000008124869, 4999.999983750263, 1852.4999939794723
SELECTEE, 240, Flight39, 0.8750000008013646, 12499.999919863536, 4631.24997030944, 0.9064222149918993, 9357.778500810065, 3467.0569345501294
SELECTEE, 240, Flight40, 0.791666667008857, 12499.99997946858, 4631.249992393108, 0.8455962236175567, 9264.226582946598, 3432.3959489817144
SELECTEE, 240, Flight41, 0.7500000004302182, 12499.99997848909, 4631.249992030208, 0.750000001966437, 12499.99990167815, 4631.249963571754
SELECTEE, 240, Flight42, 0.7500000014726723, 12499.999926366385, 4631.249972718746, 0.7500000072992272, 12499.99963503864, 4631.249864781816
SELECTEE, 240, Flight43, 0.5833333345319349, 12499.999964041952, 4631.249986677543, 0.7500000022449608, 7499.999932651177, 2778.749975047261
SELECTEE, 240, Flight44, 0.7500000014726723, 12499.999926366385, 4631.249972718746, 0.7500000072992272, 12499.99963503864, 4631.249864781816
SELECTEE, 240, Flight45, 0.37500000037899356, 12499.99999242013, 4631.249997191658, 0.75000000113502, 4999.999977299601, 1852.499991589502
SELECTEE, 240, Flight46, 0.750000000325019, 12499.999983749049, 4631.249993979022, 0.7500000014566176, 12499.99992716912, 4631.249973016159
SELECTEE, 240, Flight47, 0.6875000007105073, 12499.999971579708, 4631.249989470281, 0.7500000013375413, 9999.999946498348, 3704.999980177638
SELECTEE, 240, Flight48, 0.750000000325019, 12499.999983749049, 4631.249993979022, 0.7500000014566176, 12499.99992716912, 4631.249973016159
SELECTEE, 240, Flight49, 0.2500000016438625, 7499.999983561375, 2778.7499939094896, 0.7500000005979883, 2499.999994020117, 926.2499977844533
SELECTEE, 240, Flight50, 0.791666667008857, 12499.99997946858, 4631.249992393108, 0.8455962236175567, 9264.226582946598, 3432.3959489817144
SELECTEE, 240, Flight51, 0.8214285722318223, 12499.999943772438, 4631.249979167688, 0.8716005909029612, 8987.958636792719, 3330.038674931702
SELECTEE, 240, Flight52, 0.8214285717990427, 12499.99997406701, 4631.249990391827, 0.8898298436516814, 7711.910944382303, 2857.263004893643
SELECTEE, 240, Flight53, 0.8437500005360794, 12499.999957113649, 4631.249984110606, 0.8942219329911236, 8462.24536071011, 3135.261906143096
SELECTEE, 240, Flight54, 0.8611111114749417, 12499.99996725525, 4631.24998786807, 0.914441079744799, 7700.302822968086, 2852.9621959096758
SELECTEE, 240, Flight55, 0.5833333345319349, 12499.999964041952, 4631.249986677543, 0.7500000022449608, 7499.999932651177, 2778.749975047261
SELECTEE, 240, Flight56, 0.5833333337643288, 12499.999987070136, 4631.249995209485, 0.7500000010240642, 7499.999969278075, 2778.7499886175265
SELECTEE, 240, Flight57, 0.8750000008013646, 12499.999919863536, 4631.24997030944, 0.9064222149918993, 9357.778500810065, 3467.0569345501294
